91;          ;00;24;16;+;52;01;12;+5.57;   ;V746 Cassiopeiae
93; 12    Cas;00;24;47;+;61;49;52;+5.40;CAS;
94;          ;00;24;30;+;02;13;09;+6.07;   ;
96;          ;00;25;06;+;53;02;49;+5.74;   ;
97; 44    Psc;00;25;24;+;01;56;23;+5.77;PSC;
98;   Bet Hyi;00;25;45;+;77;15;15;+2.80;HYI;Beta Hydri
99;   Alp Phe;00;26;17;+;42;18;22;+2.39;PHE;Ankaa
100;   Kap Phe;00;26;12;+;43;40;48;+3.94;PHE;
101; 10    Cet;00;26;37;+;00;02;59;+6.19;CET;
102;          ;00;27;15;+;25;32;50;+5.98;   ;
103; 47    Psc;00;28;03;+;17;53;35;+5.06;PSC;
104;          ;00;28;14;+;44;23;40;+5.17;   ;
105;   Eta Scl;00;27;56;+;33;00;26;+4.81;SCL;
106; 48    Psc;00;28;13;+;16;26;42;+6.06;PSC;
107;          ;00;28;20;+;10;11;23;+6.04;   ;
108;          ;00;28;21;+;20;20;06;+6.43;   ;
109;          ;00;28;26;+;39;54;54;+5.43;   ;
110;          ;00;28;57;+;36;54;00;+6.26;   ;
111;          ;00;28;43;+;50;31;58;+6.26;   ;
112;          ;00;30;55;+;77;01;10;+6.21;   ;
113;          ;00;30;20;+;59;58;38;+5.94;   ;
114; 28    And;00;30;07;+;29;45;06;+5.23;AND;
115;          ;00;29;52;+;14;51;51;+6.14;   ;
116;          ;00;29;49;+;32;07;00;+6.57;   ;
117; 12    Cet;00;30;02;+;03;57;26;+5.72;CET;
118;          ;00;30;23;+;23;47;16;+5.19;   ;
119;          ;00;30;28;+;40;56;22;+6.19;   ;
120;          ;00;30;26;+;48;12;54;+5.69;   ;
121; 13    Cas;00;31;25;+;66;31;10;+6.18;CAS;
122;          ;00;31;26;+;33;34;54;+5.87;   ;
123; 14Lam Cas;00;31;46;+;54;31;20;+4.73;CAS;
124;          ;00;31;41;+;52;50;22;+5.60;   ;
125;   Lam1Phe;00;31;25;+;48;48;13;+4.77;PHE;
126;   Bet1Tuc;00;31;33;+;62;57;29;+4.37;TUC;
127;   Bet2Tuc;00;31;34;+;62;57;57;+4.54;TUC;
128;          ;00;32;27;+;43;29;41;+6.70;   ;in Andromeda
129;          ;00;33;19;+;70;58;54;+6.42;   ;
130; 15Kap Cas;00;33;00;+;62;55;54;+4.16;CAS;Kappa Cassiopeiae
131; 52    Psc;00;32;35;+;20;17;40;+5.38;PSC;
132; 51    Psc;00;32;24;+;06;57;20;+5.67;PSC;
133;          ;00;32;34;+;27;34;50;+6.67;   ;
134;          ;00;32;49;+;28;16;49;+6.30;   ;
135;          ;00;33;10;+;54;53;42;+5.93;   ;
136;   Bet3Tuc;00;32;44;+;63;01;52;+5.09;TUC;
137; 16    Cas;00;34;25;+;66;45;01;+6.48;CAS;
138;          ;00;33;41;+;29;33;30;+5.55;   ;
139;   The Tuc;00;33;23;+;71;15;58;+6.13;TUC;
140;          ;00;34;28;+;52;22;23;+5.57;   ;
141;          ;00;34;55;+;13;22;16;+6.40;   ;
142; 13    Cet;00;35;15;+;03;35;34;+5.20;CET;
143; 14    Cet;00;35;33;+;00;30;20;+5.93;CET;
144;          ;00;36;08;+;54;10;07;+5.08;   ;
145;          ;00;35;55;+;13;12;24;+6.41;   ;
146;          ;00;36;27;+;60;19;34;+5.79;   ;
147;   Lam2Phe;00;35;41;+;48;00;03;+5.51;PHE;
148;          ;00;35;33;+;54;49;19;+6.06;   ;
149;          ;00;36;20;+;27;15;17;+6.50;   ;
150;          ;00;36;03;+;14;58;25;+6.45;   ;
151;          ;00;36;07;+;22;50;33;+6.06;   ;
152;          ;00;36;47;+;44;29;19;+5.13;   ;
153; 17Zet Cas;00;36;58;+;53;53;49;+3.66;CAS;Fulu
154; 29Pi  And;00;36;53;+;33;43;10;+4.36;AND;Pi Andromedae
155; 53    Psc;00;36;47;+;15;13;54;+5.89;PSC;
156;          ;00;37;07;+;24;00;51;+6.47;   ;
157;          ;00;37;21;+;35;23;58;+5.48;   ;
158;          ;00;39;47;+;82;29;38;+6.40;   ;
159;          ;00;37;21;+;24;46;02;+5.57;   ;
160;          ;00;36;37;+;65;07;29;+6.42;   ;in Tucana
161;          ;00;37;30;+;03;08;07;+6.39;   ;
162;          ;00;37;18;+;54;23;39;+6.41;   ;
163; 30Eps And;00;38;33;+;29;18;42;+4.37;AND;
164;          ;00;39;10;+;49;21;16;+5.43;   ;
